time,open,high,low,close,Chars,EMA,EMA2,EMA3,Volume,%K,%D,Shapes,Shapes,Shapes,Histogram,MACD,Signal
2002-04-18,67.05,67.05,67.05,67.05,NaN,64.21417507718508,61.890447009469646,NaN,NaN,97,93,NaN,NaN,NaN,0.18122418633482584,1.192657195857059,1.0114330095222333
2002-04-19,67.49,67.49,67.49,67.49,NaN,64.51197734289552,62.11003732282378,NaN,NaN,98,96,NaN,NaN,NaN,0.23279672596500145,1.302428916978485,1.0696321910134836
2002-04-22,65.84,65.84,65.84,65.84,NaN,64.63270667535956,62.25631036898755,NaN,NaN,78,84,NaN,NaN,NaN,0.13786702781582028,1.241965975783259,1.1040989479674388
2002-04-23,65.53,65.53,65.53,65.53,NaN,64.71427879578141,62.384690354517446,NaN,NaN,68,73,NaN,NaN,NaN,0.04129037955904491,1.1557119224162449,1.1144215428572
2002-04-24,64.72,64.72,64.72,64.72,NaN,64.71479890525583,62.47627112492852,NaN,NaN,54,60,NaN,NaN,NaN,-0.08325877866751541,1.0103480695228058,1.0936068481903212
2002-04-25,64.38,64.38,64.38,64.38,NaN,64.68436264114166,62.55092715924505,NaN,NaN,41,47,NaN,NaN,NaN,-0.18862742595118953,0.8578225657513343,1.0464499917025238
2002-04-26,62.87,62.87,62.87,62.87,NaN,64.51942058285606,62.56343981966681,NaN,NaN,13,23,NaN,NaN,NaN,-0.35068724856757305,0.6080909309930576,0.9587781795606306
2002-04-29,62.37,62.37,62.37,62.37,NaN,64.32401871168733,62.55585394438576,NaN,NaN,4,9,NaN,NaN,NaN,-0.4745294302671643,0.36561639172667526,0.8401458219938396
2002-04-30,64.07,64.07,64.07,64.07,NaN,64.30092610153393,62.61523222107651,NaN,NaN,23,18,NaN,NaN,NaN,-0.42644511427677956,0.3070894291478652,0.7335345434246447
2002-05-01,64.93,64.93,64.93,64.93,NaN,64.35811463775812,62.706007428093116,NaN,NaN,40,32,NaN,NaN,NaN,-0.32575614253427587,0.32633936525679985,0.6520955077910757
2002-05-02,64.88,64.88,64.88,64.88,NaN,64.40555876159829,62.79126203875613,NaN,NaN,45,40,NaN,NaN,NaN,-0.2547054838987959,0.3337136529175808,0.5884191368163767
2002-05-03,64.69,64.69,64.69,64.69,NaN,64.43141705599844,62.865722350961775,NaN,NaN,45,43,NaN,NaN,NaN,-0.21431008627563963,0.32053152897182713,0.5348416152474668
2002-05-06,62.94,62.94,62.94,62.94,NaN,64.29583368727131,62.86863519994367,NaN,NaN,22,28,NaN,NaN,NaN,-0.2943135053760055,0.1669497335274599,0.4612632389034654
2002-05-07,62.38,62.38,62.38,62.38,NaN,64.12166698842847,62.849473035239996,NaN,NaN,7,13,NaN,NaN,NaN,-0.3689728389020805,0.00004719027586475022,0.36902002917794524
2002-05-08,65.19,65.19,65.19,65.19,NaN,64.21878817129861,62.94125840640705,NaN,NaN,38,29,NaN,NaN,NaN,-0.22046234668928189,0.09344209581634288,0.31390444250562477
2002-05-09,63.15,63.15,63.15,63.15,NaN,64.12162561027147,62.94944435125383,NaN,NaN,22,23,NaN,NaN,NaN,-0.24887168785770142,0.0028148326834980253,0.25168652054119944
2002-05-10,61.36,61.36,61.36,61.36,NaN,63.87056873661042,62.88711320022427,NaN,NaN,7,11,NaN,NaN,NaN,-0.3701600436018741,-0.2110135339611432,0.1591465096407309
2002-05-13,62.55,62.55,62.55,62.55,NaN,63.7505170332822,62.87389307472528,NaN,NaN,14,12,NaN,NaN,NaN,-0.352284722497299,-0.2812093934808928,0.07107532901640616
